route,segment,t,v_ego,long_active,d_rel,co_radar,headway_s,ttc_s,v_lead,plan_src
data,segment_18,12251016461528,6.34375,True,61.224998474121094,True,9.65123128656096,,7.612695217132568,cruise
data,segment_18,12251064481374,6.34375,True,61.224998474121094,True,9.65123128656096,,7.537264823913574,cruise
data,segment_18,12251131476362,6.34375,True,61.599998474121094,True,9.710344587053571,,7.889781475067139,cruise
data,segment_18,12251177633734,6.354919779132394,True,61.599998474121094,True,9.693277116793288,,7.855274677276611,cruise
data,segment_18,12251231272669,6.359375,True,61.849998474121094,True,9.725798285856879,,8.205221176147461,cruise
data,segment_18,12251264602909,6.359375,True,61.849998474121094,True,9.725798285856879,,8.118023872375488,cruise
data,segment_18,12251316265264,6.34375,True,62.125,True,9.793103448275861,,8.223366737365723,cruise
data,segment_18,12251377678298,6.34375,True,62.125,True,9.793103448275861,,7.912998676300049,cruise
data,segment_18,12251426848796,6.356272356164395,True,62.5,True,9.83280710735856,,8.219232559204102,cruise
data,segment_18,12251482806011,6.359375,True,62.5,True,9.828009828009828,,8.233054161071777,cruise
data,segment_18,12251527648059,6.34375,True,62.75,True,9.891625615763546,,8.393296241760254,cruise
data,segment_18,12251580229778,6.359375,True,62.75,True,9.867321867321868,,8.427277565002441,cruise
data,segment_18,12251614041966,6.346667448487653,True,62.75,True,9.887078613982318,,8.548561096191406,cruise
data,segment_18,12251665451839,6.34375,True,63.099998474121094,True,9.946797789024014,,8.756536483764648,cruise
data,segment_18,12251716516998,6.34375,True,63.5,True,10.009852216748769,,9.128764152526855,cruise
data,segment_18,12251764078544,6.359375,True,63.5,True,9.985257985257986,,9.154635429382324,cruise
data,segment_18,12251816083273,6.34375,True,63.45000076293945,True,10.001970563616071,,8.946398735046387,cruise
data,segment_18,12251881483218,6.359375,True,63.45000076293945,True,9.9773956973664,,8.801572799682617,cruise
data,segment_18,12251927935936,6.359375,True,63.57500076293945,True,9.997051717022421,,8.800568580627441,cruise
data,segment_18,12251964365546,6.344297193306329,True,63.57500076293945,True,10.020810631320277,,8.793573379516602,cruise
data,segment_18,12252016596561,6.328125,True,64.0,True,10.11358024691358,,8.885397911071777,cruise
data,segment_18,12252079236541,6.34375,True,64.0,True,10.088669950738916,,9.296514511108398,cruise
data,segment_18,12252114026213,6.35186824131506,True,64.5250015258789,True,10.15842883927957,,9.718780517578125,cruise
data,segment_18,12252166058856,6.34375,True,64.5250015258789,True,10.171428811961206,,9.908946990966797,cruise
data,segment_18,12252213394637,6.338845866922979,True,64.875,True,10.234512932161232,,10.104193687438965,cruise
data,segment_18,12252264044199,6.34375,True,64.875,True,10.226600985221674,,9.99960708618164,cruise
data,segment_18,12252313996363,6.34403650041946,True,65.125,True,10.265546233174103,,10.038612365722656,cruise
data,segment_18,12252364154398,6.328125,True,65.125,True,10.291358024691357,,9.871114730834961,cruise
data,segment_18,12252416180586,6.333867286823838,True,65.67500305175781,True,10.368863141224892,,10.338753700256348,cruise
data,segment_18,12252466423408,6.34375,True,65.67500305175781,True,10.352709840671181,,10.32973575592041,cruise
data,segment_18,12252514027558,6.335641159185497,True,66.375,True,10.476445608629309,,10.90368366241455,cruise
data,segment_18,12252566028018,6.34375,True,66.375,True,10.463054187192117,,11.128673553466797,cruise
data,segment_18,12252616498637,6.34375,True,66.69999694824219,True,10.514285233220443,,11.238978385925293,cruise
data,segment_18,12252665942399,6.359375,True,66.69999694824219,True,10.488451608568797,,10.723551750183105,cruise
data,segment_18,12252727935813,6.375,True,67.0250015258789,True,10.513725729549632,,10.837119102478027,cruise
data,segment_18,12252764410578,6.34375,True,67.0250015258789,True,10.565517481911947,,10.700148582458496,cruise
data,segment_18,12252816179387,6.34375,True,67.42500305175781,True,10.6285719096367,,10.866729736328125,cruise
data,segment_18,12252865966407,6.359375,True,67.42500305175781,True,10.602457482340295,,10.783665657043457,cruise
data,segment_18,12252918041290,6.359375,True,68.0999984741211,True,10.708599268657862,,11.33802604675293,cruise
data,segment_18,12252963905560,6.359375,True,68.0999984741211,True,10.708599268657862,,11.537699699401855,cruise
